MsgID.GLOBAL_POSITION,0.0000000,-122.3966486,37.7931905,8.2690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0200000,1.7800000
MsgID.LOCAL_POSITION,69.3240000,78.8940506,71.5279160,-8.2692804
MsgID.LOCAL_VELOCITY,69.3240000,0.0215111,-0.0218168,1.7872449
MsgID.GLOBAL_POSITION,0.0000000,-122.3966491,37.7931905,7.9190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,0.6700000
MsgID.LOCAL_POSITION,69.5740000,78.8948593,71.4782104,-7.9197264
MsgID.LOCAL_VELOCITY,69.5740000,0.0171151,-0.0221270,0.6740605
MsgID.GLOBAL_POSITION,0.0000000,-122.3966477,37.7931904,7.9660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-0.6000000
MsgID.LOCAL_POSITION,69.8240000,78.8835526,71.6015091,-7.9671893
MsgID.LOCAL_VELOCITY,69.8240000,0.0070422,-0.0184981,-0.6076006
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966478,37.7931903,8.0690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-0.0400000
MsgID.LOCAL_POSITION,70.0750000,78.8751526,71.6003036,-8.0697670
MsgID.LOCAL_VELOCITY,70.0750000,0.0073313,-0.0228719,-0.0455566
MsgID.GLOBAL_POSITION,0.0000000,-122.3966474,37.7931902,8.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.1500000
MsgID.LOCAL_POSITION,70.3250000,78.8592758,71.6331635,-8.0342827
MsgID.LOCAL_VELOCITY,70.3250000,0.0048954,-0.0283999,0.1580498
MsgID.GLOBAL_POSITION,0.0000000,-122.3966474,37.7931915,8.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,-0.0300000
MsgID.LOCAL_POSITION,70.5750000,79.0118790,71.6355057,-8.0077868
MsgID.LOCAL_VELOCITY,70.5750000,0.0028746,-0.0318640,-0.0349551
MsgID.GLOBAL_POSITION,0.0000000,-122.3966468,37.7931919,8.0010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,-0.0900000
MsgID.LOCAL_POSITION,70.8250000,79.0541458,71.6811905,-8.0017767
MsgID.LOCAL_VELOCITY,70.8250000,-0.0031051,-0.0309855,-0.0910635
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966462,37.7931914,8.0090000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0300000,-0.1600000
MsgID.LOCAL_POSITION,71.0750000,78.9935532,71.7381134,-8.0093393
MsgID.LOCAL_VELOCITY,71.0750000,-0.0126487,-0.0380601,-0.1673937
MsgID.GLOBAL_POSITION,0.0000000,-122.3966489,37.7931905,8.0060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0400000,-0.1200000
MsgID.LOCAL_POSITION,71.3250000,78.8969803,71.4971466,-8.0066776
MsgID.LOCAL_VELOCITY,71.3250000,-0.0144096,-0.0443827,-0.1242650
MsgID.GLOBAL_POSITION,0.0000000,-122.3966489,37.7931903,8.0060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0300000,-0.1300000
MsgID.LOCAL_POSITION,71.5750000,78.8728943,71.4978180,-8.0065203
MsgID.LOCAL_VELOCITY,71.5750000,-0.0120329,-0.0322009,-0.1325706
MsgID.GLOBAL_POSITION,0.0000000,-122.3966470,37.7931905,8.0110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-0.1400000
MsgID.LOCAL_POSITION,71.8250000,78.8932419,71.6651917,-8.0115099
MsgID.LOCAL_VELOCITY,71.8250000,-0.0031688,-0.0231252,-0.1495540
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966463,37.7931915,8.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,-0.1000000
MsgID.LOCAL_POSITION,72.0750000,79.0040054,71.7294464,-8.0197392
MsgID.LOCAL_VELOCITY,72.0750000,0.0025110,-0.0310574,-0.1039180
MsgID.GLOBAL_POSITION,0.0000000,-122.3966474,37.7931899,8.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0400000,-0.0100000
MsgID.LOCAL_POSITION,72.3250000,78.8354645,71.6284561,-8.0190868
MsgID.LOCAL_VELOCITY,72.3250000,-0.0039778,-0.0427371,-0.0142705
MsgID.GLOBAL_POSITION,0.0000000,-122.3966484,37.7931892,8.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,-0.0500000
MsgID.LOCAL_POSITION,72.5750000,78.7483826,71.5436554,-8.0212898
MsgID.LOCAL_VELOCITY,72.5750000,-0.0014679,-0.0394577,-0.0588341
MsgID.GLOBAL_POSITION,0.0000000,-122.3966479,37.7931902,8.0250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,0.0300000
MsgID.LOCAL_POSITION,72.8250000,78.8687515,71.5917511,-8.0255461
MsgID.LOCAL_VELOCITY,72.8250000,0.0148898,-0.0295963,0.0369927
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966467,37.7931902,8.0310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,0.0400000
MsgID.LOCAL_POSITION,73.0760000,78.8668289,71.6973648,-8.0316286
MsgID.LOCAL_VELOCITY,73.0760000,0.0160506,-0.0278677,0.0424320
